question_attempt_id,question_usage_id,questionid,maxmark
204,11,50,1.8
205,11,47,1.5
206,11,51,1.7
207,11,57,1.5
208,11,45,1.5
209,11,55,1.5
210,11,58,1.9
211,11,43,1.3
212,11,54,1.6
213,11,60,1.4
214,11,53,1.2
215,11,41,1.4
216,11,52,1.5
217,11,46,1.9
218,11,56,1.2
219,11,48,1.2
220,11,49,1.4
221,12,79,1.2
222,12,80,1.4
223,12,61,1.9
224,12,69,1.5
225,12,63,1.1
226,12,73,1.5
227,12,75,1.9
228,12,62,1.7
229,12,68,1.9
230,12,77,1.1
231,12,72,1.6
232,12,65,1.5
233,12,74,2.0
234,12,71,1.8
235,12,64,1.5
236,12,66,1.7
237,12,78,1.4
238,12,76,1.8
239,12,70,1.8
240,12,67,1.9
241,13,9,1.5
242,13,15,1.4
243,13,8,1.9
244,13,6,1.2
245,13,13,1.4
246,13,19,1.1
247,13,1,1.9
248,13,18,1.1
249,13,17,1.2
250,13,3,2.0
251,13,16,1.0
252,13,4,1.3
253,13,12,1.8
254,13,7,1.0
255,13,11,1.5
256,13,10,1.2
257,13,5,1.4
258,13,20,1.6
259,13,2,1.9
260,13,14,1.1
261,14,29,1.9
262,14,24,1.1
263,14,37,1.7
264,14,30,1.0
265,14,39,1.2
266,14,34,1.9
267,14,36,1.9
268,14,25,1.2
269,14,35,1.7
270,14,26,1.9
271,14,23,1.6
272,14,33,1.6
273,14,21,1.2
274,14,31,1.7
275,14,40,1.0
276,14,22,1.7
277,14,38,1.2
278,14,28,1.2
279,14,32,1.1
280,14,27,1.7
281,15,50,1.8
282,15,59,1.8
283,15,42,1.2
284,15,44,1.9
285,15,47,1.5
286,15,51,1.7
287,15,57,1.5
288,15,45,1.5
289,15,55,1.5
290,15,58,1.9
291,15,52,1.5
292,15,43,1.3
293,15,54,1.6
294,15,60,1.4
295,15,53,1.2
296,15,41,1.4
297,15,46,1.9
298,15,56,1.2
299,15,48,1.2
300,15,49,1.4
301,16,79,1.2
302,16,80,1.4
303,16,61,1.9
304,16,69,1.5
305,16,62,1.7
306,16,73,1.5
307,16,75,1.9
308,16,65,1.5
309,16,68,1.9
310,16,77,1.1
311,16,72,1.6
312,16,63,1.1
313,16,74,2.0
314,16,71,1.8
315,16,64,1.5
316,16,66,1.7
317,16,78,1.4
318,16,76,1.8
319,16,70,1.8
320,16,67,1.9
321,17,4,1.3
322,17,15,1.4
323,17,18,1.1
324,17,5,1.4
325,17,16,1.0
326,17,19,1.1
327,17,12,1.8
328,17,17,1.2
329,17,9,1.5
330,17,13,1.4
331,17,7,1.0
332,17,8,1.9
333,17,14,1.1
334,17,2,1.9
335,17,20,1.6
336,17,11,1.5
337,17,10,1.2
338,17,6,1.2
339,17,1,1.9
340,17,3,2.0
341,18,33,1.6
342,18,25,1.2
343,18,36,1.9
344,18,22,1.7
345,18,39,1.2
346,18,29,1.9
347,18,30,1.0
348,18,26,1.9
349,18,37,1.7
350,18,28,1.2
351,18,32,1.1
352,18,35,1.7
353,18,31,1.7
354,18,21,1.2
355,18,27,1.7
356,18,34,1.9
357,18,24,1.1
358,18,23,1.6
359,18,40,1.0
360,18,38,1.2
361,19,48,1.2
362,19,55,1.5
363,19,49,1.4
364,19,59,1.8
365,19,60,1.4
366,19,51,1.7
367,19,41,1.4
368,19,53,1.2
369,19,58,1.9
370,19,45,1.5
371,19,56,1.2
372,19,43,1.3
373,19,42,1.2
374,19,44,1.9
375,19,50,1.8
376,19,57,1.5
377,19,46,1.9
378,19,47,1.5
379,19,52,1.5
380,19,54,1.6
381,20,72,1.6
382,20,63,1.1
383,20,79,1.2
384,20,69,1.5
385,20,66,1.7
386,20,65,1.5
387,20,74,2.0
388,20,68,1.9
389,20,75,1.9
390,20,76,1.8
391,20,62,1.7
392,20,73,1.5
393,20,70,1.8
394,20,78,1.4
395,20,67,1.9
396,20,64,1.5
397,20,77,1.1
398,20,61,1.9
399,20,71,1.8
400,20,80,1.4
401,21,17,1.2
402,21,15,1.4
403,21,20,1.6
404,21,5,1.4
405,21,16,1.0
406,21,19,1.1
407,21,12,1.8
408,21,4,1.3
409,21,9,1.5
410,21,13,1.4
411,21,7,1.0
412,21,8,1.9
413,21,14,1.1
414,21,2,1.9
415,21,18,1.1
416,21,11,1.5
417,21,10,1.2
418,21,6,1.2
419,21,1,1.9
420,21,3,2.0
421,22,33,1.6
422,22,25,1.2
423,22,36,1.9
424,22,22,1.7
425,22,39,1.2
426,22,29,1.9
427,22,30,1.0
428,22,26,1.9
429,22,37,1.7
430,22,28,1.2
431,22,32,1.1
432,22,34,1.9
433,22,31,1.7
434,22,21,1.2
435,22,40,1.0
436,22,35,1.7
437,22,24,1.1
438,22,23,1.6
439,22,27,1.7
440,22,38,1.2
441,23,59,1.8
442,23,55,1.5
443,23,49,1.4
444,23,58,1.9
445,23,51,1.7
446,23,41,1.4
447,23,53,1.2
448,23,60,1.4
449,23,45,1.5
450,23,56,1.2
451,23,48,1.2
452,23,43,1.3
453,23,42,1.2
454,23,44,1.9
455,23,50,1.8
456,23,57,1.5
457,23,46,1.9
458,23,47,1.5
459,23,52,1.5
460,23,54,1.6
461,24,72,1.6
462,24,77,1.1
463,24,79,1.2
464,24,61,1.9
465,24,66,1.7
466,24,65,1.5
467,24,74,2.0
468,24,68,1.9
469,24,75,1.9
470,24,76,1.8
471,24,62,1.7
472,24,73,1.5
473,24,70,1.8
474,24,78,1.4
475,24,67,1.9
476,24,64,1.5
477,24,63,1.1
478,24,69,1.5
479,24,71,1.8
480,24,80,1.4
481,25,4,1.3
482,25,15,1.4
483,25,20,1.6
484,25,19,1.1
485,25,16,1.0
486,25,5,1.4
487,25,12,1.8
488,25,17,1.2
489,25,9,1.5
490,25,13,1.4
491,25,7,1.0
492,25,8,1.9
493,25,14,1.1
494,25,2,1.9
495,25,18,1.1
496,25,11,1.5
497,25,10,1.2
498,25,6,1.2
499,25,1,1.9
500,25,3,2.0
501,26,33,1.6
502,26,25,1.2
503,26,36,1.9
504,26,22,1.7
505,26,39,1.2
506,26,34,1.9
507,26,30,1.0
508,26,26,1.9
509,26,37,1.7
510,26,28,1.2
511,26,32,1.1
512,26,35,1.7
513,26,31,1.7
514,26,21,1.2
515,26,40,1.0
516,26,29,1.9
517,26,24,1.1
518,26,23,1.6
519,26,27,1.7
520,26,38,1.2
521,27,48,1.2
522,27,55,1.5
523,27,49,1.4
524,27,59,1.8
525,27,58,1.9
526,27,51,1.7
527,27,41,1.4
528,27,53,1.2
529,27,60,1.4
530,27,45,1.5
531,27,56,1.2
532,27,43,1.3
533,27,42,1.2
534,27,44,1.9
535,27,50,1.8
536,27,57,1.5
537,27,46,1.9
538,27,47,1.5
539,27,52,1.5
540,27,54,1.6
541,28,78,1.4
542,28,77,1.1
543,28,79,1.2
544,28,69,1.5
545,28,66,1.7
546,28,65,1.5
547,28,74,2.0
548,28,68,1.9
549,28,75,1.9
550,28,76,1.8
551,28,62,1.7
552,28,73,1.5
553,28,70,1.8
554,28,72,1.6
555,28,67,1.9
556,28,64,1.5
557,28,63,1.1
558,28,61,1.9
559,28,71,1.8
560,28,80,1.4
561,29,4,1.3
562,29,15,1.4
563,29,20,1.6
564,29,5,1.4
565,29,16,1.0
566,29,19,1.1
567,29,13,1.4
568,29,17,1.2
569,29,9,1.5
570,29,12,1.8
571,29,7,1.0
572,29,8,1.9
573,29,14,1.1
574,29,2,1.9
575,29,18,1.1
576,29,11,1.5
577,29,10,1.2
578,29,6,1.2
579,29,1,1.9
580,29,3,2.0
581,30,33,1.6
582,30,25,1.2
583,30,36,1.9
584,30,22,1.7
585,30,39,1.2
586,30,29,1.9
587,30,30,1.0
588,30,26,1.9
589,30,37,1.7
590,30,28,1.2
591,30,32,1.1
592,30,34,1.9
593,30,31,1.7
594,30,21,1.2
595,30,40,1.0
596,30,35,1.7
597,30,24,1.1
598,30,23,1.6
599,30,27,1.7
600,30,38,1.2
601,31,48,1.2
602,31,55,1.5
603,31,49,1.4
604,31,59,1.8
605,31,58,1.9
606,31,51,1.7
607,31,41,1.4
608,31,53,1.2
609,31,60,1.4
610,31,45,1.5
611,31,56,1.2
612,31,42,1.2
613,31,44,1.9
614,31,50,1.8
615,31,57,1.5
616,31,46,1.9
617,31,43,1.3
618,31,47,1.5
619,31,52,1.5
620,31,54,1.6
621,32,72,1.6
622,32,77,1.1
623,32,79,1.2
624,32,69,1.5
625,32,66,1.7
626,32,65,1.5
627,32,74,2.0
628,32,68,1.9
629,32,75,1.9
630,32,76,1.8
631,32,62,1.7
632,32,67,1.9
633,32,70,1.8
634,32,78,1.4
635,32,73,1.5
636,32,64,1.5
637,32,63,1.1
638,32,61,1.9
639,32,71,1.8
640,32,80,1.4
641,33,14,1.1
642,33,20,1.6
643,33,16,1.0
644,33,8,1.9
645,33,9,1.5
646,33,1,1.9
647,33,12,1.8
648,33,6,1.2
649,33,3,2.0
650,33,17,1.2
651,33,11,1.5
652,33,13,1.4
653,33,10,1.2
654,33,15,1.4
655,33,19,1.1
656,33,5,1.4
657,33,7,1.0
658,33,4,1.3
659,33,2,1.9
660,33,18,1.1
661,34,24,1.1
662,34,23,1.6
663,34,22,1.7
664,34,32,1.1
665,34,35,1.7
666,34,29,1.9
667,34,30,1.0
668,34,36,1.9
669,34,28,1.2
670,34,37,1.7
671,34,26,1.9
672,34,21,1.2
673,34,39,1.2
674,34,34,1.9
675,34,40,1.0
676,34,31,1.7
677,34,38,1.2
678,34,33,1.6
679,34,25,1.2
680,34,27,1.7
681,35,54,1.6
682,35,44,1.9
683,35,51,1.7
684,35,42,1.2
685,35,48,1.2
686,35,56,1.2
687,35,45,1.5
688,35,46,1.9
689,35,57,1.5
690,35,55,1.5
691,35,47,1.5
692,35,60,1.4
693,35,49,1.4
694,35,58,1.9
695,35,41,1.4
696,35,53,1.2
697,35,59,1.8
698,35,50,1.8
699,35,43,1.3
700,35,52,1.5
701,36,64,1.5
702,36,80,1.4
703,36,76,1.8
704,36,69,1.5
705,36,79,1.2
706,36,63,1.1
707,36,72,1.6
708,36,74,2.0
709,36,66,1.7
710,36,71,1.8
711,36,75,1.9
712,36,68,1.9
713,36,67,1.9
714,36,62,1.7
715,36,73,1.5
716,36,78,1.4
717,36,77,1.1
718,36,65,1.5
719,36,61,1.9
720,36,70,1.8
721,37,14,1.1
722,37,5,1.4
723,37,16,1.0
724,37,20,1.6
725,37,9,1.5
726,37,1,1.9
727,37,12,1.8
728,37,6,1.2
729,37,7,1.0
730,37,10,1.2
731,37,17,1.2
732,37,13,1.4
733,37,15,1.4
734,37,19,1.1
735,37,3,2.0
736,37,4,1.3
737,37,11,1.5
738,37,8,1.9
739,37,2,1.9
740,37,18,1.1
741,38,24,1.1
742,38,30,1.0
743,38,36,1.9
744,38,26,1.9
745,38,32,1.1
746,38,29,1.9
747,38,23,1.6
748,38,22,1.7
749,38,40,1.0
750,38,37,1.7
751,38,31,1.7
752,38,25,1.2
753,38,34,1.9
754,38,35,1.7
755,38,28,1.2
756,38,38,1.2
757,38,33,1.6
758,38,39,1.2
759,38,21,1.2
760,38,27,1.7
761,39,44,1.9
762,39,54,1.6
763,39,51,1.7
764,39,60,1.4
765,39,46,1.9
766,39,59,1.8
767,39,45,1.5
768,39,52,1.5
769,39,43,1.3
770,39,41,1.4
771,39,48,1.2
772,39,42,1.2
773,39,49,1.4
774,39,47,1.5
775,39,55,1.5
776,39,53,1.2
777,39,56,1.2
778,39,57,1.5
779,39,50,1.8
780,39,58,1.9
781,40,78,1.4
782,40,80,1.4
783,40,61,1.9
784,40,62,1.7
785,40,66,1.7
786,40,63,1.1
787,40,71,1.8
788,40,72,1.6
789,40,73,1.5
790,40,79,1.2
791,40,65,1.5
792,40,76,1.8
793,40,75,1.9
794,40,67,1.9
795,40,68,1.9
796,40,74,2.0
797,40,64,1.5
798,40,77,1.1
799,40,69,1.5
800,40,70,1.8
801,41,14,1.1
802,41,11,1.5
803,41,16,1.0
804,41,19,1.1
805,41,9,1.5
806,41,1,1.9
807,41,4,1.3
808,41,6,1.2
809,41,20,1.6
810,41,10,1.2
811,41,8,1.9
812,41,12,1.8
813,41,17,1.2
814,41,13,1.4
815,41,15,1.4
816,41,5,1.4
817,41,3,2.0
818,41,7,1.0
819,41,2,1.9
820,41,18,1.1
821,42,24,1.1
822,42,23,1.6
823,42,38,1.2
824,42,35,1.7
825,42,26,1.9
826,42,33,1.6
827,42,30,1.0
828,42,22,1.7
829,42,37,1.7
830,42,28,1.2
831,42,40,1.0
832,42,29,1.9
833,42,25,1.2
834,42,34,1.9
835,42,32,1.1
836,42,31,1.7
837,42,36,1.9
838,42,21,1.2
839,42,39,1.2
840,42,27,1.7
841,43,54,1.6
842,43,44,1.9
843,43,51,1.7
844,43,56,1.2
845,43,58,1.9
846,43,48,1.2
847,43,45,1.5
848,43,46,1.9
849,43,43,1.3
850,43,55,1.5
851,43,57,1.5
852,43,42,1.2
853,43,59,1.8
854,43,41,1.4
855,43,47,1.5
856,43,53,1.2
857,43,49,1.4
858,43,60,1.4
859,43,50,1.8
860,43,52,1.5
861,44,78,1.4
862,44,80,1.4
863,44,61,1.9
864,44,69,1.5
865,44,71,1.8
866,44,63,1.1
867,44,65,1.5
868,44,64,1.5
869,44,74,2.0
870,44,66,1.7
871,44,79,1.2
872,44,76,1.8
873,44,75,1.9
874,44,67,1.9
875,44,62,1.7
876,44,73,1.5
877,44,72,1.6
878,44,77,1.1
879,44,68,1.9
880,44,70,1.8
881,45,17,1.2
882,45,4,1.3
883,45,16,1.0
884,45,20,1.6
885,45,1,1.9
886,45,12,1.8
887,45,6,1.2
888,45,3,2.0
889,45,8,1.9
890,45,11,1.5
891,45,14,1.1
892,45,13,1.4
893,45,15,1.4
894,45,5,1.4
895,45,7,1.0
896,45,10,1.2
897,45,19,1.1
898,45,9,1.5
899,45,2,1.9
900,45,18,1.1
901,46,24,1.1
902,46,23,1.6
903,46,36,1.9
904,46,35,1.7
905,46,39,1.2
906,46,29,1.9
907,46,30,1.0
908,46,34,1.9
909,46,28,1.2
910,46,31,1.7
911,46,40,1.0
912,46,21,1.2
913,46,38,1.2
914,46,37,1.7
915,46,26,1.9
916,46,25,1.2
917,46,33,1.6
918,46,32,1.1
919,46,22,1.7
920,46,27,1.7
921,47,54,1.6
922,47,49,1.4
923,47,51,1.7
924,47,60,1.4
925,47,58,1.9
926,47,56,1.2
927,47,45,1.5
928,47,47,1.5
929,47,43,1.3
930,47,55,1.5
931,47,52,1.5
932,47,42,1.2
933,47,48,1.2
934,47,46,1.9
935,47,41,1.4
936,47,53,1.2
937,47,59,1.8
938,47,57,1.5
939,47,44,1.9
940,47,50,1.8
941,48,78,1.4
942,48,80,1.4
943,48,76,1.8
944,48,62,1.7
945,48,79,1.2
946,48,75,1.9
947,48,65,1.5
948,48,72,1.6
949,48,74,2.0
950,48,66,1.7
951,48,71,1.8
952,48,61,1.9
953,48,77,1.1
954,48,67,1.9
955,48,69,1.5
956,48,73,1.5
957,48,63,1.1
958,48,64,1.5
959,48,68,1.9
960,48,70,1.8
961,49,14,1.1
962,49,4,1.3
963,49,5,1.4
964,49,9,1.5
965,49,20,1.6
966,49,1,1.9
967,49,12,1.8
968,49,6,1.2
969,49,8,1.9
970,49,10,1.2
971,49,19,1.1
972,49,11,1.5
973,49,17,1.2
974,49,16,1.0
975,49,15,1.4
976,49,3,2.0
977,49,13,1.4
978,49,7,1.0
979,49,2,1.9
980,49,18,1.1
981,50,28,1.2
982,50,23,1.6
983,50,32,1.1
984,50,35,1.7
985,50,36,1.9
986,50,33,1.6
987,50,30,1.0
988,50,22,1.7
989,50,24,1.1
990,50,37,1.7
991,50,25,1.2
992,50,40,1.0
993,50,21,1.2
994,50,34,1.9
995,50,26,1.9
996,50,31,1.7
997,50,38,1.2
998,50,29,1.9
999,50,39,1.2
1000,50,27,1.7
1001,51,58,1.9
1002,51,51,1.7
1003,51,53,1.2
1004,51,49,1.4
1005,51,54,1.6
1006,51,56,1.2
1007,51,45,1.5
1008,51,46,1.9
1009,51,43,1.3
1010,51,55,1.5
1011,51,48,1.2
1012,51,42,1.2
1013,51,60,1.4
1014,51,47,1.5
1015,51,44,1.9
1016,51,41,1.4
1017,51,59,1.8
1018,51,57,1.5
1019,51,50,1.8
1020,51,52,1.5
1021,52,78,1.4
1022,52,80,1.4
1023,52,77,1.1
1024,52,61,1.9
1025,52,79,1.2
1026,52,62,1.7
1027,52,65,1.5
1028,52,72,1.6
1029,52,74,2.0
1030,52,75,1.9
1031,52,71,1.8
1032,52,76,1.8
1033,52,68,1.9
1034,52,67,1.9
1035,52,63,1.1
1036,52,73,1.5
1037,52,64,1.5
1038,52,69,1.5
1039,52,66,1.7
1040,52,70,1.8
1041,53,14,1.1
1042,53,4,1.3
1043,53,9,1.5
1044,53,20,1.6
1045,53,16,1.0
1046,53,15,1.4
1047,53,12,1.8
1048,53,6,1.2
1049,53,19,1.1
1050,53,8,1.9
1051,53,11,1.5
1052,53,17,1.2
1053,53,3,2.0
1054,53,10,1.2
1055,53,13,1.4
1056,53,5,1.4
1057,53,7,1.0
1058,53,1,1.9
1059,53,2,1.9
1060,53,18,1.1
1061,54,24,1.1
1062,54,23,1.6
1063,54,36,1.9
1064,54,29,1.9
1065,54,39,1.2
1066,54,28,1.2
1067,54,30,1.0
1068,54,31,1.7
1069,54,35,1.7
1070,54,37,1.7
1071,54,40,1.0
1072,54,26,1.9
1073,54,25,1.2
1074,54,34,1.9
1075,54,21,1.2
1076,54,22,1.7
1077,54,38,1.2
1078,54,33,1.6
1079,54,32,1.1
1080,54,27,1.7
1081,55,54,1.6
1082,55,44,1.9
1083,55,51,1.7
1084,55,59,1.8
1085,55,58,1.9
1086,55,56,1.2
1087,55,43,1.3
1088,55,55,1.5
1089,55,45,1.5
1090,55,46,1.9
1091,55,48,1.2
1092,55,41,1.4
1093,55,49,1.4
1094,55,60,1.4
1095,55,42,1.2
1096,55,53,1.2
1097,55,47,1.5
1098,55,57,1.5
1099,55,50,1.8
1100,55,52,1.5
1101,56,80,1.4
1102,56,78,1.4
1103,56,61,1.9
1104,56,69,1.5
1105,56,71,1.8
1106,56,63,1.1
1107,56,65,1.5
1108,56,72,1.6
1109,56,75,1.9
1110,56,66,1.7
1111,56,73,1.5
1112,56,76,1.8
1113,56,64,1.5
1114,56,67,1.9
1115,56,62,1.7
1116,56,79,1.2
1117,56,77,1.1
1118,56,74,2.0
1119,56,68,1.9
1120,56,70,1.8
1121,57,7,1.0
1122,57,11,1.5
1123,57,2,1.9
1124,57,1,1.9
1125,57,13,1.4
1126,57,19,1.1
1127,57,8,1.9
1128,57,14,1.1
1129,57,4,1.3
1130,57,5,1.4
1131,57,12,1.8
1132,57,3,2.0
1133,57,10,1.2
1134,57,9,1.5
1135,57,17,1.2
1136,57,16,1.0
1137,57,20,1.6
1138,57,18,1.1
1139,57,6,1.2
1140,57,15,1.4
1141,58,36,1.9
1142,58,31,1.7
1143,58,38,1.2
1144,58,29,1.9
1145,58,26,1.9
1146,58,22,1.7
1147,58,39,1.2
1148,58,32,1.1
1149,58,37,1.7
1150,58,33,1.6
1151,58,34,1.9
1152,58,35,1.7
1153,58,24,1.1
1154,58,30,1.0
1155,58,23,1.6
1156,58,28,1.2
1157,58,25,1.2
1158,58,21,1.2
1159,58,27,1.7
1160,58,40,1.0
1161,59,55,1.5
1162,59,48,1.2
1163,59,58,1.9
1164,59,42,1.2
1165,59,46,1.9
1166,59,56,1.2
1167,59,51,1.7
1168,59,50,1.8
1169,59,45,1.5
1170,59,44,1.9
1171,59,60,1.4
1172,59,53,1.2
1173,59,43,1.3
1174,59,41,1.4
1175,59,52,1.5
1176,59,47,1.5
1177,59,49,1.4
1178,59,54,1.6
1179,59,59,1.8
1180,59,57,1.5
1181,60,61,1.9
1182,60,70,1.8
1183,60,73,1.5
1184,60,65,1.5
1185,60,69,1.5
1186,60,74,2.0
1187,60,67,1.9
1188,60,71,1.8
1189,60,66,1.7
1190,60,76,1.8
1191,60,77,1.1
1192,60,63,1.1
1193,60,62,1.7
1194,60,79,1.2
1195,60,78,1.4
1196,60,64,1.5
1197,60,72,1.6
1198,60,80,1.4
1199,60,68,1.9
1200,60,75,1.9
1201,61,17,1.2
1202,61,10,1.2
1203,61,8,1.9
1204,61,13,1.4
1205,61,11,1.5
1206,61,4,1.3
1207,61,1,1.9
1208,61,14,1.1
1209,61,5,1.4
1210,61,19,1.1
1211,61,12,1.8
1212,61,3,2.0
1213,61,2,1.9
1214,61,9,1.5
1215,61,7,1.0
1216,61,16,1.0
1217,61,20,1.6
1218,61,18,1.1
1219,61,6,1.2
1220,61,15,1.4
1221,62,30,1.0
1222,62,35,1.7
1223,62,28,1.2
1224,62,38,1.2
1225,62,31,1.7
1226,62,22,1.7
1227,62,29,1.9
1228,62,26,1.9
1229,62,37,1.7
1230,62,25,1.2
1231,62,23,1.6
1232,62,33,1.6
1233,62,24,1.1
1234,62,36,1.9
1235,62,34,1.9
1236,62,39,1.2
1237,62,32,1.1
1238,62,21,1.2
1239,62,27,1.7
1240,62,40,1.0
1241,63,55,1.5
1242,63,59,1.8
1243,63,58,1.9
1244,63,42,1.2
1245,63,53,1.2
1246,63,43,1.3
1247,63,60,1.4
1248,63,50,1.8
1249,63,51,1.7
1250,63,56,1.2
1251,63,46,1.9
1252,63,48,1.2
1253,63,54,1.6
1254,63,41,1.4
1255,63,45,1.5
1256,63,47,1.5
1257,63,49,1.4
1258,63,44,1.9
1259,63,52,1.5
1260,63,57,1.5
1261,64,72,1.6
1262,64,70,1.8
1263,64,73,1.5
1264,64,65,1.5
1265,64,69,1.5
1266,64,77,1.1
1267,64,78,1.4
1268,64,64,1.5
1269,64,71,1.8
1270,64,66,1.7
1271,64,76,1.8
1272,64,74,2.0
1273,64,62,1.7
1274,64,80,1.4
1275,64,61,1.9
1276,64,67,1.9
1277,64,79,1.2
1278,64,63,1.1
1279,64,68,1.9
1280,64,75,1.9
1281,65,17,1.2
1282,65,10,1.2
1283,65,8,1.9
1284,65,2,1.9
1285,65,13,1.4
1286,65,11,1.5
1287,65,1,1.9
1288,65,3,2.0
1289,65,4,1.3
1290,65,5,1.4
1291,65,12,1.8
1292,65,6,1.2
1293,65,9,1.5
1294,65,7,1.0
1295,65,16,1.0
1296,65,18,1.1
1297,65,20,1.6
1298,65,19,1.1
1299,65,14,1.1
1300,65,15,1.4
1301,66,30,1.0
1302,66,31,1.7
1303,66,33,1.6
1304,66,22,1.7
1305,66,24,1.1
1306,66,28,1.2
1307,66,29,1.9
1308,66,26,1.9
1309,66,37,1.7
1310,66,35,1.7
1311,66,34,1.9
1312,66,39,1.2
1313,66,25,1.2
1314,66,36,1.9
1315,66,23,1.6
1316,66,38,1.2
1317,66,32,1.1
1318,66,21,1.2
1319,66,27,1.7
1320,66,40,1.0
1321,67,55,1.5
1322,67,59,1.8
1323,67,58,1.9
1324,67,47,1.5
1325,67,41,1.4
1326,67,56,1.2
1327,67,53,1.2
1328,67,50,1.8
1329,67,51,1.7
1330,67,43,1.3
1331,67,46,1.9
1332,67,48,1.2
1333,67,44,1.9
1334,67,60,1.4
1335,67,52,1.5
1336,67,45,1.5
1337,67,49,1.4
1338,67,57,1.5
1339,67,42,1.2
1340,67,54,1.6
1341,68,72,1.6
1342,68,70,1.8
1343,68,71,1.8
1344,68,79,1.2
1345,68,63,1.1
1346,68,77,1.1
1347,68,69,1.5
1348,68,67,1.9
1349,68,73,1.5
1350,68,66,1.7
1351,68,65,1.5
1352,68,74,2.0
1353,68,78,1.4
1354,68,80,1.4
1355,68,62,1.7
1356,68,76,1.8
1357,68,64,1.5
1358,68,61,1.9
1359,68,68,1.9
